id;first_name;last_name;phone;address;city;postal_code;country;avatar;is_verified;role;email;company_id;created_at;last_login
1;Aiden;Kertzmann;(797) 954-3645 x8673;../fake-data/blob/hipster.txt;Palm Bay;daily fina;Holy See (Vatican City State);absent;false;COMPANY;Norwood_Murazik@yahoo.com;smoothly curiously;2025-07-14T10:18:00;2025-07-14T08:07:26
2;Vickie;Hirthe;578.422.4870 x67173;../fake-data/blob/hipster.txt;Careyborough;always;Bonaire, Sint Eustatius and Saba;clonk lazily;true;COMPANY;Karine_Armstrong@yahoo.com;phew;2025-07-14T10:32:29;2025-07-14T00:33:02
3;Karianne;Bartell;258.422.7264 x63121;../fake-data/blob/hipster.txt;West Elenora;e-mail;Saint Helena;exotic anenst fellow;false;COMPANY;Nelson_Ziemann@hotmail.com;huzzah drat;2025-07-14T04:27:20;2025-07-14T02:10:43
4;Regan;Anderson-Streich;939-964-5654 x339;../fake-data/blob/hipster.txt;Diegotown;nice playf;Saint Martin;phew gadzooks shrill;true;ENTREPRENEUR;Carley31@gmail.com;hmph adventurously;2025-07-14T11:13:08;2025-07-14T13:33:01
5;Emile;Flatley;832.206.1023 x5043;../fake-data/blob/hipster.txt;New Augustus;gentle;Wallis and Futuna;rudely bossy;false;INDIVIDUAL;Darren_Thompson@yahoo.com;beside outrageous yak;2025-07-14T21:22:31;2025-07-14T00:15:27
6;Rusty;Bechtelar;226.426.8569 x969;../fake-data/blob/hipster.txt;Johnbury;drat;Serbia;which unfit dish;false;ASSOCIATION;Else.Turner@gmail.com;clearly miserable;2025-07-14T04:58:47;2025-07-14T18:57:06
7;Pedro;Thompson;(718) 246-3935 x5617;../fake-data/blob/hipster.txt;Jacobifurt;among booh;Guernsey;what;false;ADMIN;Lincoln33@gmail.com;oh amid fooey;2025-07-13T23:07:27;2025-07-13T22:57:59
8;Ike;Bode;1-227-540-6007;../fake-data/blob/hipster.txt;Efrenstead;hence;Cook Islands;supposing scuttle;false;COMPANY;Lincoln45@hotmail.com;the;2025-07-14T21:05:51;2025-07-14T09:31:11
9;Elenor;Greenholt;615.600.5972 x3723;../fake-data/blob/hipster.txt;McKenzieport;license;Benin;as;true;INDIVIDUAL;Theodore51@yahoo.com;diver unless;2025-07-14T15:15:55;2025-07-14T22:40:17
10;Arne;Simonis;965.912.6614 x0129;../fake-data/blob/hipster.txt;Palm Bay;among wear;Jamaica;procrastinate nauseate tremendously;true;COMPANY;Leatha.Cruickshank4@gmail.com;above hmph;2025-07-14T03:40:34;2025-07-14T14:06:33
